COUNTY_NAME,POPDEN_2000,POPDEN_2001,POPDEN_2002,POPDEN_2003,POPDEN_2004,POPDEN_2005,POPDEN_2006,POPDEN_2007,POPDEN_2008,POPDEN_2009,POPDEN_2010,POPDEN_2011,POPDEN_2012,POPDEN_2013,POPDEN_2014,POPDEN_2015,POPDEN_2016,POPDEN_2017,POPDEN_2018,POPDEN_2019,POPDEN_2020,POPDEN_2021,POPDEN_2022,POPDEN_2023
Skamania,5.96,6.00,6.06,6.11,6.21,6.35,6.51,6.58,6.61,6.64,6.68,6.73,6.81,6.82,6.87,6.90,6.95,7.06,7.18,7.28,7,7.09,7.18,7.24
Snohomish,290.09,295.76,301.23,306.33,310.56,316.58,323.65,329.96,334.76,337.90,341.76,343.51,346.34,349.98,355.01,362.96,370.27,378.20,385.73,392.23,396.81,401.53,406.08,412.07
Spokane,236.98,239.92,243.11,243.18,244.89,248.49,253.31,257.44,261.00,264.47,267.16,267.97,269.65,272.14,274.69,276.85,279.25,283.37,287.99,292.13,305.71,307.27,312.15,314.36
Stevens,16.17,16.27,16.39,16.53,16.68,16.86,17.09,17.25,17.46,17.56,17.57,17.60,17.64,17.68,17.72,17.77,17.80,17.96,18.17,18.39,18.75,18.86,18.99,19.12
Thurston,285.21,288.99,294.54,300.22,306.82,315.38,321.98,329.52,336.79,342.96,349.42,351.96,355.70,360.27,365.67,370.39,377.71,383.54,390.19,395.87,408.02,412.18,415.92,419.93
Wahkiakum,14.47,14.50,14.48,14.51,14.48,14.63,14.80,15.00,15.16,15.15,15.10,15.19,15.28,15.26,15.23,15.11,15.19,15.30,15.57,15.91,16.82,17.02,17.21,17.31
Walla Walla,43.43,43.37,43.48,43.73,44.21,44.87,45.04,45.46,45.70,46.09,46.28,46.29,46.53,46.85,47.36,47.75,47.81,48.34,48.66,48.97,49.28,48.9,49.31,49.68
Whatcom,78.71,80.67,82.21,83.03,85.04,87.27,89.68,92.14,93.26,94.24,95.47,95.92,96.59,97.68,98.54,99.57,100.88,102.66,104.59,106.94,107.62,107.36,109.9,111.86
Whitman,18.87,18.68,18.82,18.97,19.30,19.68,19.84,19.82,20.41,20.38,20.74,20.75,21.28,21.31,21.54,21.88,22.20,22.53,22.79,23.22,22.22,20.66,22.14,22.28
Yakima,51.81,52.19,52.32,53.06,53.54,53.98,54.56,55.15,55.75,56.26,56.63,56.97,57.27,57.56,57.92,58.19,58.41,58.90,59.25,59.59,59.78,60.1,60.53,60.82
